	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
493	James Pantemis	ca CAN	GK	Portland Timbers	29-105	1997	14	14	1,260	14.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
494	Isaiah Parente	us USA	MF	LA Galaxy	26-082	2000	2	0	16	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
495	Tim Parker	us USA	DF	RB New York	33-103	1993	7	4	418	4.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
496	Keaton Parks	us USA	MF	NYCFC	28-304	1997	14	10	821	9.1	2	0	2	2	0	0	3	0	0.22	0.00	0.22	0.22	0.22	Matches
497	Marco Pašalić	hr CRO	MF,FW	Orlando City	25-265	2000	10	8	642	7.1	2	0	2	2	0	0	3	0	0.28	0.00	0.28	0.28	0.28	Matches
498	Pedrinho	br BRA	FW	Orlando City	19-343	2006	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
499	Peglow	br BRA	MF	D.C. United	24-150	2002	15	15	1,288	14.3	1	3	4	1	0	0	4	0	0.07	0.21	0.28	0.07	0.28	Matches
500	Amahl Pellegrino	no NOR	FW,MF	San Diego FC	35-353	1990	11	8	673	7.5	2	1	3	2	0	0	0	1	0.27	0.13	0.40	0.27	0.40	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
501	Matti Peltola	fi FIN	MF	D.C. United	23-338	2002	15	15	1,320	14.7	1	0	1	1	0	0	1	0	0.07	0.00	0.07	0.07	0.07	Matches
502	Andrés Perea	us USA	MF	NYCFC	25-204	2000	5	1	203	2.3	1	0	1	1	0	0	0	0	0.44	0.00	0.44	0.44	0.44	Matches
503	Daniel Pereira	ve VEN	MF	Austin FC	25-327	2000	8	4	366	4.1	0	1	1	0	0	0	1	0	0.00	0.25	0.25	0.00	0.25	Matches
504	Matheus Pereira	br BRA	MF	Toronto FC	25-167	2000	2	1	120	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
505	Joaquín Pereyra	ar ARG	FW,MF	Minnesota Utd	27-187	1998	15	14	1,277	14.2	1	5	6	1	0	0	2	0	0.07	0.35	0.42	0.07	0.42	Matches
506	Miguel Perez	us USA	MF	St. Louis City	21-039	2005	7	3	228	2.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
507	Nikola Petković	rs SRB	MF	Seattle Sounders	23-103	2003	4	2	134	1.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
508	Luca Petrasso	ca CAN	DF	CF Montréal	25-355	2000	12	12	1,074	11.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
509	Hugo Picard	fr FRA	MF,FW	Columbus Crew	23-028	2003	15	8	752	8.4	2	2	4	2	0	0	0	0	0.24	0.24	0.48	0.24	0.48	Matches
510	Fafà Picault	ht HAI	FW	Atlanta Utd	35-103	1991	7	1	189	2.1	1	1	2	1	0	0	0	0	0.48	0.48	0.95	0.48	0.95	Matches
511	Kevin Pierre Jr	us USA	MF	NYCFC	22-350	2003	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
512	Samuel Piette	ca CAN	MF	CF Montréal	31-206	1994	10	6	496	5.5	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
513	Ian Pilcher	us USA	DF	San Diego FC	23-077	2003	8	2	169	1.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
514	Mauricio Pineda	us USA	MF	Chicago Fire	28-232	1997	9	5	449	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
515	Dániel Pintér	us USA	MF	Inter Miami	19-000	2007	7	1	215	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
516	Ariath Piol	au AUS	FW	Real Salt Lake	21-238	2004	2	2	164	1.8	1	0	1	1	0	0	0	0	0.55	0.00	0.55	0.55	0.55	Matches
517	Gabriel Pirani	br BRA	FW,MF	D.C. United	24-055	2002	7	6	468	5.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
518	Preston Plambeck	us USA	MF	Inter Miami	20-168	2005	3	0	43	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
519	Matt Polster	us USA	MF	NE Revolution	32-363	1993	9	7	533	5.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
520	Dante Polvara	us USA	DF	St. Louis City	25-350	2000	14	14	1,183	13.1	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
521	Célio Pompeu	br BRA	MF	St. Louis City	26-178	1999	3	1	114	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
522	Ezequiel Ponce	ar ARG	FW	Houston Dynamo	29-069	1997	13	10	869	9.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
523	Ryan Porteous	sct SCO	DF	LAFC	27-073	1999	13	11	1,068	11.9	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
524	Alvas Powell	jm JAM	DF	FC Cincinnati	31-323	1994	7	1	158	1.8	0	1	1	0	0	0	0	1	0.00	0.57	0.57	0.00	0.57	Matches
525	Owen Presthus	us USA	DF	Columbus Crew	20-105	2006	1	1	59	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
526	Ralph Priso-Mbongue	ca CAN	DF	Vancouver W'caps	23-308	2002	6	5	467	5.2	1	0	1	1	0	0	0	0	0.19	0.00	0.19	0.19	0.19	Matches
527	Andrew Privett	us USA	DF	Charlotte	25-308	2000	8	6	570	6.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
528	John Pulskamp	us USA	GK	Sporting KC	25-048	2001	9	9	810	9.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
529	Troy Putt	nz NZL	FW	Minnesota Utd	19-252	2006	1	0	5	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
530	Ahmed Qasem	iq IRQ	MF,FW	Nashville SC	22-329	2003	14	9	729	8.1	1	1	2	1	0	0	3	0	0.12	0.12	0.25	0.12	0.25	Matches
531	Philip Quinton	us USA	DF	Real Salt Lake	26-202	1999	11	8	765	8.5	0	1	1	0	0	0	1	0	0.00	0.12	0.12	0.00	0.12	Matches
532	Viktor Radojevic	rs SRB	DF	Chicago Fire	21-327	2004	6	1	115	1.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
533	Jeremy Rafanello	us USA	MF	Philadelphia Union	26-053	2000	4	2	204	2.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
534	Jackson Ragen	us USA	DF	Seattle Sounders	27-255	1998	12	11	1,059	11.8	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
535	Brooklyn Raines	us USA	MF	NE Revolution	21-087	2005	13	13	1,137	12.6	0	0	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
536	Bryan Ramírez	ec ECU	MF	FC Cincinnati	25-299	2000	14	13	1,120	12.4	0	2	2	0	0	0	6	0	0.00	0.16	0.16	0.00	0.16	Matches
537	Christian Ramirez	us USA	FW	Austin FC	35-063	1991	14	8	682	7.6	4	1	5	4	0	0	0	0	0.53	0.13	0.66	0.53	0.66	Matches
