Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
18,Tiago Araújo,pt POR,"DF,MF",Gent,24,2001,29.9,1,19,3,15.8,0.64,0.1,0.05,0.33,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
19,Tolu Arokodare,ng NGA,FW,Genk,24,2000,0.9,1,6,2,33.3,6.43,2.14,0.17,0.5,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
20,Raymond Asante,gh GHA,FW,Charleroi,21,2004,0.2,0,2,1,50.0,9.47,4.74,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
21,Dirk Asare,be BEL,MF,Zulte Waregem,21,2004,9.1,0,9,5,55.6,0.99,0.55,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
22,Majeed Ashimeru,gh GHA,MF,La Louvière,27,1997,4.6,0,7,0,0.0,1.54,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
23,Steeven Assengue,be BEL,DF,Standard Liège,20,2005,1.3,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
24,Lynnt Audoor,be BEL,MF,Club Brugge,21,2003,2.2,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
25,Ludwig Augustinsson,se SWE,DF,Anderlecht,31,1994,23.0,0,21,3,14.3,0.91,0.13,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
26,Rachid Ayindé,bf BFA,DF,Gent,20,2005,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
27,Isaac Babadi,nl NED,MF,Antwerp,20,2005,5.3,0,12,6,50.0,2.25,1.13,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
28,Bilal Bafdili,be BEL,"MF,FW",Mechelen,20,2004,9.5,1,11,4,36.4,1.16,0.42,0.09,0.25,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
29,Michel-Ange Balikwisha,cd COD,MF,Antwerp,24,2001,3.8,1,3,2,66.7,0.78,0.52,0.0,0.0,1,1,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
30,William Balikwisha,cd COD,MF,OH Leuven,26,1999,3.4,0,5,2,40.0,1.49,0.6,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
31,Hassane Bandé,bf BFA,"FW,MF",Mechelen,26,1998,0.8,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
32,David Bates,sct SCO,DF,Standard Liège,28,1996,15.3,1,9,3,33.3,0.59,0.2,0.11,0.33,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
33,Alama Bayo,gn GUI,FW,Cercle Brugge,19,2006,0.2,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
34,Emin Bayram,tr TUR,DF,Westerlo,22,2003,36.9,4,38,11,28.9,1.03,0.3,0.08,0.27,1,1,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
35,Alexis Beka Beka,fr FRA,MF,La Louvière,24,2001,1.9,1,8,2,25.0,4.21,1.05,0.13,0.5,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
36,Rafik Belghali,dz ALG,DF,Mechelen,23,2002,2.7,0,1,0,0.0,0.38,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
37,Mouhamed Belkheir,fr FRA,FW,La Louvière,26,1999,1.9,0,4,2,50.0,2.16,1.08,0.0,0.0,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
38,Quentin Benaets,be BEL,FW,Charleroi,21,2003,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
39,Mauricio Benítez,ar ARG,"MF,DF",Antwerp,21,2004,16.7,3,24,6,25.0,1.44,0.36,0.13,0.5,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
40,Antoine Bernier,be BEL,MF,Charleroi,27,1997,26.2,7,42,16,38.1,1.61,0.61,0.17,0.44,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
41,Adriano Bertaccini,be BEL,"MF,FW",Anderlecht,24,2000,17.2,6,61,25,41.0,3.55,1.46,0.1,0.24,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
42,Adriano Bertaccini,be BEL,"FW,MF",Sint-Truiden,24,2000,0.3,1,4,3,75.0,12.86,9.64,0.25,0.33,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
43,Mohamed Berte,be BEL,FW,Dender,23,2002,10.7,2,21,9,42.9,1.95,0.84,0.1,0.22,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
44,Joshua Bethume,be BEL,MF,Anderlecht,16,2009,0.4,0,2,0,0.0,5.0,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,belgian_pro_league_shooting_clean.csv
