	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
63	Mohammed Barnawi	sa KSA	DF	Al-Ittihad	19	2005	2	0	23	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
64	Musa Barrow	gm GAM	FW	Al-Taawoun	26	1998	5	5	394	4.4	3	3	6	3	0	0	0	0	0.69	0.69	1.37	0.69	1.37	Matches
65	Christian Bassogog	cm CMR	MF,FW	Al Okhdood SC	29	1995	29	27	2,229	24.8	4	6	10	2	2	2	1	0	0.16	0.24	0.40	0.08	0.32	Matches
66	Mourad Batna	ma MAR	FW,MF	Al-Fateh	35	1990	29	25	2,381	26.5	9	8	17	4	5	7	5	1	0.34	0.30	0.64	0.15	0.45	Matches
67	Osama Al Bawardi		DF,MF	Al-Riyadh SC			28	21	1,838	20.4	0	1	1	0	0	0	2	0	0.00	0.05	0.05	0.00	0.05	Matches
68	Ibrahim Bayesh	iq IRQ	MF	Al-Riyadh SC	25	2000	12	11	1,021	11.3	1	0	1	1	0	0	5	1	0.09	0.00	0.09	0.09	0.09	Matches
69	Abdelkader Bedrane	dz ALG	DF	Damac	33	1992	28	27	2,357	26.2	3	1	4	3	0	0	3	2	0.11	0.04	0.15	0.11	0.15	Matches
70	Sofiane Bendebka	dz ALG	MF,FW	Al-Fateh	32	1992	28	25	2,228	24.8	9	1	10	7	2	2	0	0	0.36	0.04	0.40	0.28	0.32	Matches
71	Saïd Benrahma	dz ALG	MF	Neom	29	1995	27	23	2,032	22.6	10	7	17	7	3	3	1	0	0.44	0.31	0.75	0.31	0.62	Matches
72	Bento	br BRA	GK	Al-Nassr	26	1999	21	21	1,890	21.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
73	Karim Benzema	fr FRA	FW	Al-Ittihad	37	1987	14	14	1,188	13.2	8	0	8	6	2	3	1	0	0.61	0.00	0.61	0.45	0.45	Matches
74	Karim Benzema	fr FRA	FW	Al-Hilal	37	1987	10	9	711	7.9	9	2	11	9	0	1	0	0	1.14	0.25	1.39	1.14	1.39	Matches
