	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
487	Vincent Sierro	ch SUI	MF	Al-Shabab	29	1995	22.8	0	13	3	23.1	0.57	0.13	0.00	0.00	0	0	Matches
488	Mohamed Simakan	fr FRA	DF	Al-Nassr	25	2000	27.7	3	25	11	44.0	0.90	0.40	0.12	0.27	0	0	Matches
489	Jan-Carlo Simic	rs SRB	DF	Al-Ittihad	20	2005	7.4	0	3	0	0.0	0.40	0.00	0.00		0	0	Matches
490	Ahmed Al Siyahi		MF,DF	Al-Riyadh SC			16.2	0	8	0	0.0	0.49	0.00	0.00		0	0	Matches
491	Chris Smalling	eng ENG	DF	Al-Fayha	35	1989	33.2	3	14	6	42.9	0.42	0.18	0.21	0.50	0	0	Matches
492	Omar Al Somah	sy SYR	FW	Al-Hazem	36	1989	18.3	7	82	30	36.6	4.47	1.64	0.06	0.17	2	4	Matches
493	Mohammed Somaili	sa KSA	MF,FW	Al Kholood Saudi Club	24	2000	21.0	2	17	6	35.3	0.81	0.29	0.12	0.33	0	0	Matches
494	Ismaila Soro	ci CIV	MF	Al-Riyadh SC	27	1998	13.4	0	9	0	0.0	0.67	0.00	0.00		0	0	Matches
495	Fawaz Al-Sqoor	sa KSA	DF	Al-Ittihad	29	1996	0.2	0	0	0		0.00	0.00			0	0	Matches
496	Fawaz Al-Sqoor	sa KSA	DF	Al-Shabab	29	1996	2.5	0	2	1	50.0	0.80	0.40	0.00	0.00	0	0	Matches
497	Khalid Al Subaie	sa KSA	DF,MF	Al-Najma	25	1999	7.7	0	2	0	0.0	0.26	0.00	0.00		0	0	Matches
498	Khalid Al Subaie	sa KSA	MF	Al-Hazem	25	1999	0.4	0	0	0		0.00	0.00			0	0	Matches
499	Faisal Al Subhi		MF	Al-Riyadh SC			1.4	0	2	0	0.0	1.45	0.00	0.00		0	0	Matches
500	Faisal Al Subiani	sa KSA	MF	Al-Shabab	22	2003	5.4	0	5	1	20.0	0.93	0.19	0.00	0.00	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
