	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
71	Alán Bautista	mx MEX	MF	Pachuca	23	2002	30	22	1,933	21.5	3	1	4	3	0	0	5	1	0.14	0.05	0.19	0.14	0.19	Matches
72	Paul Bellón	mx MEX	DF	León	28	1997	10	7	734	8.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
73	Fernando Beltrán	mx MEX	MF	León	27	1998	31	25	2,018	22.4	3	2	5	3	0	0	5	0	0.13	0.09	0.22	0.13	0.22	Matches
74	Anwar Ben Rhouma	us USA	FW	Mazatlán	20	2005	3	0	21	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
75	Nicolás Benedetti	co COL	MF,FW	Mazatlán	28	1997	15	13	1,043	11.6	3	2	5	2	1	3	4	0	0.26	0.17	0.43	0.17	0.35	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Pablo Bennevendo Peña	mx MEX	DF	UNAM	25	2000	26	22	1,970	21.9	0	1	1	0	0	0	4	0	0.00	0.05	0.05	0.00	0.05	Matches
77	Jorge Berlanga	mx MEX	DF	Pachuca	22	2003	10	6	552	6.1	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
78	Germán Berterame	mx MEX	FW	Monterrey	26	1998	20	20	1,716	19.1	11	3	14	11	0	0	0	0	0.58	0.16	0.73	0.58	0.73	Matches
79	Unai Bilbao	es ESP	DF	Tijuana	31	1994	25	19	1,813	20.1	2	0	2	2	0	0	5	0	0.10	0.00	0.10	0.10	0.10	Matches
80	Domingo Blanco	ar ARG	MF	Tijuana	30	1995	29	9	1,089	12.1	1	0	1	1	0	0	3	1	0.08	0.00	0.08	0.08	0.08	Matches
81	Luis Blanco	mx MEX	MF	Atlas	19	2006	1	0	3	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
82	Rodrigo Bogarín	py PAR	MF	Querétaro	28	1997	16	14	1,224	13.6	1	0	1	1	0	0	1	0	0.07	0.00	0.07	0.07	0.07	Matches
83	Mateusz Bogusz	pl POL	MF,FW	Cruz Azul	23	2001	12	6	536	6.0	1	1	2	1	0	0	2	0	0.17	0.17	0.34	0.17	0.34	Matches
84	Cristian Borja	co COL	DF	América	32	1993	32	30	2,646	29.4	0	3	3	0	0	0	4	0	0.00	0.10	0.10	0.00	0.10	Matches
