Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
56,Josh Bauer,us USA,DF,Nashville SC,,1998.0,3.2,0,1,0,0.0,0.31,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
57,Timo Baumgartl,de GER,DF,St. Louis City,,1996.0,14.0,1,2,1,50.0,0.14,0.07,0.5,1.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
58,Julián Bazán,co COL,DF,RB New York,,2005.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
59,Tanner Beason,us USA,DF,NE Revolution,,1997.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
60,Simon Becher,us USA,FW,St. Louis City,,1999.0,11.9,1,29,7,24.1,2.43,0.59,0.03,0.14,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
61,Alejandro Bedoya,us USA,MF,Philadelphia Union,,1987.0,2.3,0,4,2,50.0,1.77,0.89,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
62,Jon Bell,jm JAM,DF,Austin FC,,1997.0,8.0,2,5,3,60.0,0.62,0.37,0.4,0.67,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
63,Ben Bender,us USA,"DF,MF",Philadelphia Union,,2001.0,4.8,1,6,2,33.3,1.24,0.41,0.17,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
64,Nehuén Benedetti,ar ARG,MF,RB New York,,2005.0,1.0,0,1,0,0.0,1.05,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
65,Ramiro Benetti,br BRA,MF,FC Dallas,,1993.0,11.0,0,9,2,22.2,0.82,0.18,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
66,Lasse Berg Johnsen,no NOR,MF,Sporting KC,,1999.0,10.1,1,6,2,33.3,0.59,0.2,0.17,0.5,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
67,Gustav Berggren,se SWE,"MF,DF",RB New York,,1997.0,3.4,0,8,1,12.5,2.33,0.29,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
68,Sebastian Berhalter,us USA,MF,Vancouver W'caps,,2001.0,12.5,6,32,9,28.1,2.57,0.72,0.16,0.56,1,1,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
69,Juan Berrocal,es ESP,DF,Atlanta Utd,,1999.0,8.1,0,6,0,0.0,0.74,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
70,Germán Berterame,mx MEX,FW,Inter Miami,,1998.0,12.6,7,32,17,53.1,2.54,1.35,0.22,0.41,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
71,Pep Biel,es ESP,MF,Charlotte,,1996.0,14.6,7,35,13,37.1,2.4,0.89,0.17,0.46,1,1,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
