Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
60,Simon Becher,us USA,FW,St. Louis City,,1999.0,14,13,1072,11.9,1,3,4,1,0,0,1,0,0.08,0.25,0.34,0.08,0.34,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
61,Alejandro Bedoya,us USA,MF,Philadelphia Union,,1987.0,8,1,203,2.3,0,2,2,0,0,0,1,0,0.0,0.89,0.89,0.0,0.89,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
62,Jon Bell,jm JAM,DF,Austin FC,,1997.0,14,7,722,8.0,2,0,2,2,0,0,1,0,0.25,0.0,0.25,0.25,0.25,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
63,Ben Bender,us USA,"DF,MF",Philadelphia Union,,2001.0,8,4,435,4.8,1,0,1,1,0,0,1,0,0.21,0.0,0.21,0.21,0.21,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
64,Nehuén Benedetti,ar ARG,MF,RB New York,,2005.0,5,0,86,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
65,Ramiro Benetti,br BRA,MF,FC Dallas,,1993.0,14,12,990,11.0,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
66,Lasse Berg Johnsen,no NOR,MF,Sporting KC,,1999.0,11,10,910,10.1,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.10,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
67,Gustav Berggren,se SWE,"MF,DF",RB New York,,1997.0,10,3,309,3.4,0,1,1,0,0,0,0,1,0.0,0.29,0.29,0.0,0.29,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
68,Sebastian Berhalter,us USA,MF,Vancouver W'caps,,2001.0,14,13,1121,12.5,6,4,10,5,1,1,3,0,0.48,0.32,0.8,0.4,0.72,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
69,Juan Berrocal,es ESP,DF,Atlanta Utd,,1999.0,9,8,731,8.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
70,Germán Berterame,mx MEX,FW,Inter Miami,,1998.0,15,12,1136,12.6,7,3,10,7,0,0,1,0,0.55,0.24,0.79,0.55,0.79,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
71,Pep Biel,es ESP,MF,Charlotte,,1996.0,15,15,1311,14.6,7,4,11,6,1,1,2,0,0.48,0.27,0.76,0.41,0.69,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
72,Mamadou Billo Diop,sn SEN,FW,Colorado Rapids,,2006.0,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
73,Ran Binyamin,il ISR,"MF,DF",FC Dallas,,2004.0,13,5,448,5.0,0,2,2,0,0,0,1,0,0.0,0.4,0.4,0.0,0.40,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
