	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
55	Zorhan Bassong	ca CAN	MF	Sporting KC	27-030	1999	2.6	0	6	1	16.7	2.28	0.38	0.00	0.00	0	0	Matches
56	Josh Bauer	us USA	DF	Nashville SC	27-319	1998	3.2	0	1	0	0.0	0.31	0.00	0.00		0	0	Matches
57	Timo Baumgartl	de GER	DF	St. Louis City	30-094	1996	14.0	1	2	1	50.0	0.14	0.07	0.50	1.00	0	0	Matches
58	Julián Bazán	co COL	DF	RB New York	20-193	2005	0.1	0	0	0		0.00	0.00			0	0	Matches
59	Tanner Beason	us USA	DF	NE Revolution	29-075	1997	0.6	0	0	0		0.00	0.00			0	0	Matches
60	Simon Becher	us USA	FW	St. Louis City	26-321	1999	11.9	1	29	7	24.1	2.43	0.59	0.03	0.14	0	0	Matches
61	Alejandro Bedoya	us USA	MF	Philadelphia Union	39-038	1987	2.3	0	4	2	50.0	1.77	0.89	0.00	0.00	0	0	Matches
62	Jon Bell	jm JAM	DF	Austin FC	28-284	1997	8.0	2	5	3	60.0	0.62	0.37	0.40	0.67	0	0	Matches
63	Ben Bender	us USA	DF,MF	Philadelphia Union	25-091	2001	4.8	1	6	2	33.3	1.24	0.41	0.17	0.50	0	0	Matches
64	Nehuén Benedetti	ar ARG	MF	RB New York	21-102	2005	1.0	0	1	0	0.0	1.05	0.00	0.00		0	0	Matches
65	Ramiro Benetti	br BRA	MF	FC Dallas	33-015	1993	11.0	0	9	2	22.2	0.82	0.18	0.00	0.00	0	0	Matches
66	Lasse Berg Johnsen	no NOR	MF	Sporting KC	26-292	1999	10.1	1	6	2	33.3	0.59	0.20	0.17	0.50	0	0	Matches
67	Gustav Berggren	se SWE	MF,DF	RB New York	28-272	1997	3.4	0	8	1	12.5	2.33	0.29	0.00	0.00	0	0	Matches
68	Sebastian Berhalter	us USA	MF	Vancouver W'caps	25-020	2001	12.5	6	32	9	28.1	2.57	0.72	0.16	0.56	1	1	Matches
69	Juan Berrocal	es ESP	DF	Atlanta Utd	27-033	1999	8.1	0	6	0	0.0	0.74	0.00	0.00		0	0	Matches
70	Germán Berterame	mx MEX	FW	Inter Miami	27-205	1998	12.6	7	32	17	53.1	2.54	1.35	0.22	0.41	0	0	Matches
71	Pep Biel	es ESP	MF	Charlotte	29-274	1996	14.6	7	35	13	37.1	2.40	0.89	0.17	0.46	1	1	Matches
72	Mamadou Billo Diop	sn SEN	FW	Colorado Rapids	19-265	2006	0.2	0	1	0	0.0	4.74	0.00	0.00		0	0	Matches
73	Ran Binyamin	il ISR	MF,DF	FC Dallas	22-120	2004	5.0	0	4	1	25.0	0.80	0.20	0.00	0.00	0	0	Matches
74	Guilherme Biro	br BRA	DF	Austin FC	26-036	2000	9.5	1	10	2	20.0	1.05	0.21	0.10	0.50	0	0	Matches
