Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
369,Mohamed Nayef,sa KSA,MF,Al Okhdood SC,26.0,1998.0,14,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
370,Rúben Neves,pt POR,"MF,DF",Al-Hilal,28.0,1997.0,31,31,2748,30.5,12,6,18,4,8,9,4,0,0.39,0.2,0.59,0.13,0.33,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
371,Yvan Neyou,cm CMR,MF,Al Okhdood SC,28.0,1997.0,7,6,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
372,Tokmac Nguen,no NOR,MF,Al Okhdood SC,31.0,1993.0,13,9,693,7.7,1,0,1,1,0,0,3,1,0.13,0.0,0.13,0.13,0.13,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
373,Mohau Nkota,za RSA,"MF,FW",Al-Ettifaq,20.0,2004.0,21,16,1437,16.0,2,2,4,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
374,Abdulaziz Noor,sa KSA,MF,Neom,26.0,1999.0,11,5,428,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
375,Darwin Núñez,uy URU,"FW,MF",Al-Hilal,26.0,1999.0,16,14,1247,13.9,6,4,10,6,0,0,0,0,0.43,0.29,0.72,0.43,0.72,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
376,Abdurahman Al-Obaid,sa KSA,DF,Damac,32.0,1993.0,26,23,2018,22.4,0,5,5,0,0,0,2,0,0.0,0.22,0.22,0.0,0.22,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
377,Mahdi Al Obud,sa KSA,MF,Al-Fateh,19.0,2005.0,11,3,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
378,Jonathan Okita,cd COD,"MF,FW",Damac,29.0,1995.0,13,9,783,8.7,2,1,3,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
379,Teddy Okou,fr FRA,"MF,FW",Al-Riyadh SC,27.0,1998.0,32,29,2427,27.0,1,8,9,1,0,0,7,0,0.04,0.3,0.33,0.04,0.33,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
380,Madallah Al-Olayan,sa KSA,"DF,MF",Al-Ettifaq,30.0,1994.0,20,11,933,10.4,1,1,2,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
381,Radi Al Otaibi,sa KSA,"DF,MF",Al-Ettifaq,25.0,2000.0,24,17,1594,17.7,0,2,2,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
382,Otávio,pt POR,MF,Al-Qadsiah,30.0,1995.0,15,14,1180,13.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
383,Abdulaziz Al Othman,sa KSA,FW,Al-Shabab,21.0,2004.0,10,2,321,3.6,1,0,1,1,0,0,3,1,0.28,0.0,0.28,0.28,0.28,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
384,Othman Al Othman,sa KSA,MF,Al-Fateh,22.0,2003.0,13,4,320,3.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
385,Youssouf Oumarou,ne NIG,MF,Al-Hazem,32.0,1993.0,10,6,599,6.7,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
386,Fernando Pacheco,es ESP,GK,Al-Fateh,33.0,1992.0,31,31,2710,30.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
387,Juan Pedroza,co COL,MF,Al Okhdood SC,26.0,1999.0,30,29,2445,27.2,3,2,5,3,0,0,10,1,0.11,0.07,0.18,0.11,0.18,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
388,Danilo Pereira,pt POR,DF,Al-Ittihad,33.0,1991.0,31,31,2790,31.0,2,1,3,2,0,0,5,0,0.06,0.03,0.1,0.06,0.10,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
389,Marin Petkov,bg BUL,"FW,MF",Al-Taawoun,21.0,2003.0,15,14,1149,12.8,2,2,4,2,0,0,2,0,0.16,0.16,0.31,0.16,0.31,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
390,Petros,br BRA,MF,Al Okhdood SC,36.0,1989.0,16,16,1392,15.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
391,Shaquille Pinas,sr SUR,DF,Al Kholood Saudi Club,27.0,1998.0,30,29,2591,28.8,1,2,3,0,1,1,2,0,0.03,0.07,0.1,0.0,0.07,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
392,Samuel Portugal,br BRA,GK,Al Okhdood SC,31.0,1994.0,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
393,Marin Prekodravac,hr CRO,DF,Al-Najma,20.0,2005.0,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
394,Abdullah Al Qahtani,sa KSA,"MF,FW",Damac,26.0,1999.0,26,17,1484,16.5,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
395,Husain Al Qahtani,sa KSA,MF,Al-Qadsiah,30.0,1994.0,4,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
396,Kheshim Al Qahtani,sa KSA,FW,Al-Taawoun,25.0,2000.0,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
397,Mohammed Al Qahtani,sa KSA,"MF,FW",Al-Taawoun,23.0,2002.0,13,2,365,4.1,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
